,date,open,high,low,close,volume
9551,2021-05-26 02:10:00,1.22515,1.22518,1.22514,1.22516,7.0
9552,2021-05-26 02:11:00,1.22515,1.22515,1.22515,1.22515,3.0
9553,2021-05-26 02:12:00,1.22514,1.22514,1.22512,1.22514,4.0
9554,2021-05-26 02:13:00,1.22512,1.22515,1.22511,1.22515,5.0
9555,2021-05-26 02:14:00,1.22514,1.22515,1.22498,1.22498,12.0
9556,2021-05-26 02:15:00,1.22499,1.22501,1.22498,1.225,7.0
9557,2021-05-26 02:16:00,1.22501,1.22501,1.22495,1.22497,6.0
9558,2021-05-26 02:17:00,1.22499,1.22506,1.22499,1.22505,12.0
9559,2021-05-26 02:18:00,1.22505,1.22505,1.225,1.22502,10.0
9560,2021-05-26 02:19:00,1.22502,1.22502,1.22502,1.22502,79.0
9561,2021-05-26 02:20:00,1.22503,1.22503,1.22498,1.22499,22.0
9562,2021-05-26 02:21:00,1.22501,1.22501,1.22495,1.22495,9.0
9563,2021-05-26 02:22:00,1.22497,1.22497,1.22495,1.22495,9.0
9564,2021-05-26 02:23:00,1.22496,1.22502,1.22496,1.22499,17.0
9565,2021-05-26 02:24:00,1.225,1.22502,1.225,1.22501,5.0
9566,2021-05-26 02:25:00,1.225,1.225,1.2249,1.2249,7.0
9567,2021-05-26 02:27:00,1.22491,1.22492,1.2249,1.22492,4.0
9568,2021-05-26 02:28:00,1.22493,1.22493,1.2249,1.2249,3.0
9569,2021-05-26 02:29:00,1.22492,1.22492,1.22489,1.22489,7.0
9570,2021-05-26 02:30:00,1.22491,1.22491,1.22486,1.22486,5.0
9571,2021-05-26 02:31:00,1.22489,1.22491,1.22489,1.2249,6.0
9572,2021-05-26 02:32:00,1.22491,1.22491,1.22486,1.22486,9.0
9573,2021-05-26 02:33:00,1.22491,1.22492,1.2249,1.22492,4.0
9574,2021-05-26 02:34:00,1.22491,1.22493,1.22491,1.22491,6.0
9575,2021-05-26 02:35:00,1.22492,1.22493,1.2249,1.22491,11.0
9576,2021-05-26 02:36:00,1.22492,1.22492,1.22482,1.22482,10.0
9577,2021-05-26 02:37:00,1.22479,1.22482,1.22477,1.22481,14.0
9578,2021-05-26 02:38:00,1.22483,1.22486,1.22483,1.22486,9.0
9579,2021-05-26 02:39:00,1.22488,1.22502,1.22488,1.22491,21.0
9580,2021-05-26 02:42:00,1.22492,1.22492,1.22487,1.22487,7.0
9581,2021-05-26 02:43:00,1.22487,1.22492,1.22483,1.22484,11.0
9582,2021-05-26 02:44:00,1.22479,1.22483,1.22478,1.2248,10.0
9583,2021-05-26 02:45:00,1.22479,1.22485,1.22477,1.22479,10.0
9584,2021-05-26 02:46:00,1.22478,1.22478,1.22475,1.22475,7.0
9585,2021-05-26 02:47:00,1.22475,1.22475,1.22475,1.22475,1.0
9586,2021-05-26 02:48:00,1.22473,1.22474,1.2247,1.22474,7.0
9587,2021-05-26 02:49:00,1.22472,1.22472,1.22467,1.22468,19.0
9588,2021-05-26 02:50:00,1.22469,1.22469,1.22462,1.22466,12.0
9589,2021-05-26 02:51:00,1.22467,1.22469,1.22466,1.22469,5.0
9590,2021-05-26 02:52:00,1.22471,1.22473,1.22466,1.22466,10.0
9591,2021-05-26 02:53:00,1.22466,1.22468,1.22466,1.22468,3.0
9592,2021-05-26 02:54:00,1.22469,1.22476,1.22469,1.22476,10.0
9593,2021-05-26 02:55:00,1.22477,1.22477,1.22477,1.22477,1.0
9594,2021-05-26 02:56:00,1.22478,1.22484,1.22478,1.22483,9.0
9595,2021-05-26 02:57:00,1.22482,1.22482,1.22478,1.2248,12.0
9596,2021-05-26 02:58:00,1.22474,1.22474,1.22466,1.22468,17.0
9597,2021-05-26 02:59:00,1.22466,1.2248,1.22466,1.2247,21.0
9598,2021-05-26 03:00:00,1.22471,1.22478,1.22465,1.22472,43.0
9599,2021-05-26 03:01:00,1.22469,1.22482,1.22452,1.22482,52.0
9600,2021-05-26 03:02:00,1.22483,1.22488,1.22481,1.22488,49.0
9601,2021-05-26 03:03:00,1.22486,1.22497,1.22483,1.22497,26.0
9602,2021-05-26 03:04:00,1.22498,1.22514,1.22498,1.22514,27.0
9603,2021-05-26 03:05:00,1.22513,1.22526,1.22508,1.22526,38.0
9604,2021-05-26 03:06:00,1.22525,1.22528,1.22506,1.2251,22.0
9605,2021-05-26 03:07:00,1.22508,1.22517,1.22496,1.22505,38.0
9606,2021-05-26 03:08:00,1.22502,1.22505,1.22497,1.22499,13.0
9607,2021-05-26 03:09:00,1.225,1.22515,1.22499,1.22505,26.0
9608,2021-05-26 03:10:00,1.22506,1.22508,1.22502,1.22503,14.0
9609,2021-05-26 03:11:00,1.22504,1.22516,1.22504,1.22515,22.0
9610,2021-05-26 03:12:00,1.22516,1.22524,1.22516,1.22521,14.0
9611,2021-05-26 03:13:00,1.22518,1.2253,1.22518,1.22522,23.0
9612,2021-05-26 03:14:00,1.22523,1.22527,1.22515,1.22515,24.0
9613,2021-05-26 03:15:00,1.22513,1.22526,1.22512,1.22526,26.0
9614,2021-05-26 03:16:00,1.22529,1.22531,1.22526,1.22526,7.0
9615,2021-05-26 03:17:00,1.22522,1.22522,1.22515,1.22515,16.0
9616,2021-05-26 03:18:00,1.22514,1.22514,1.2251,1.22511,13.0
9617,2021-05-26 03:19:00,1.22508,1.2251,1.22506,1.2251,17.0
9618,2021-05-26 03:20:00,1.22511,1.22512,1.2251,1.22511,6.0
9619,2021-05-26 03:21:00,1.22513,1.2252,1.22513,1.2252,17.0
9620,2021-05-26 03:22:00,1.22521,1.22521,1.22516,1.22516,12.0
9621,2021-05-26 03:23:00,1.22517,1.22521,1.22515,1.2252,16.0
9622,2021-05-26 03:24:00,1.22521,1.22529,1.22521,1.22529,11.0
9623,2021-05-26 03:25:00,1.22531,1.22534,1.22526,1.22532,17.0
9624,2021-05-26 03:26:00,1.22533,1.22538,1.22533,1.22535,11.0
9625,2021-05-26 03:27:00,1.22535,1.22539,1.22533,1.22533,17.0
9626,2021-05-26 03:28:00,1.22532,1.22533,1.22525,1.22528,12.0
9627,2021-05-26 03:29:00,1.22527,1.22527,1.22523,1.22523,5.0
9628,2021-05-26 03:30:00,1.22524,1.22527,1.22512,1.22526,33.0
9629,2021-05-26 03:31:00,1.22524,1.22524,1.22516,1.22517,16.0
9630,2021-05-26 03:32:00,1.22517,1.22523,1.22516,1.22516,11.0
9631,2021-05-26 03:33:00,1.22517,1.22521,1.22515,1.22521,11.0
9632,2021-05-26 03:34:00,1.22514,1.22514,1.22505,1.22512,22.0
9633,2021-05-26 03:35:00,1.2251,1.2251,1.225,1.225,11.0
9634,2021-05-26 03:36:00,1.22499,1.22511,1.22498,1.22508,32.0
9635,2021-05-26 03:37:00,1.22509,1.22511,1.22507,1.22507,14.0
